attack,target_type,nationality,weapon
Hostage Taking (Kidnapping),Military,Peru,Unknown
Hostage Taking (Kidnapping),Private Citizens & Property,Peru,Unknown
Hostage Taking (Kidnapping),Private Citizens & Property,,Unknown
Bombing/Explosion,Military,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Military,South Africa,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Police,South Africa,Incendiary
Bombing/Explosion,Business,United States,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,United States,Explosives/Bombs/Dynamite
Unknown,Police,South Africa,Unknown
Bombing/Explosion,Government (General),United States,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),United States,Explosives/Bombs/Dynamite
Bombing/Explosion,Military,United States,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),United States,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Peru,Explosives/Bombs/Dynamite
Assassination,Business,India,Unknown
Armed Assault,Government (Diplomatic),India,Melee
Assassination,Unknown,India,Unknown
Assassination,Police,Philippines,Firearms
Bombing/Explosion,Business,United States,Explosives/Bombs/Dynamite
Unknown,Police,South Africa,Unknown
Armed Assault,Military,Colombia,Firearms
Armed Assault,Military,Nicaragua,Firearms
Armed Assault,Police,Peru,Firearms
Armed Assault,Police,Peru,Firearms
Facility/Infrastructure Attack,Utilities,Peru,Firearms
Armed Assault,Military,Peru,Firearms
Assassination,Police,Peru,Firearms
Assassination,Police,Philippines,Firearms
Bombing/Explosion,Police,South Africa,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,South Africa,Explosives/Bombs/Dynamite
Armed Assault,Military,Nicaragua,Firearms
Armed Assault,Military,Nicaragua,Firearms
Armed Assault,Military,Nicaragua,Firearms
Bombing/Explosion,Police,Sri Lanka,Explosives/Bombs/Dynamite
Assassination,Police,Colombia,Firearms
Assassination,Private Citizens & Property,Philippines,Firearms
Bombing/Explosion,Utilities,South Africa,Explosives/Bombs/Dynamite
Assassination,Government (General),Lebanon,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,El Salvador,Explosives/Bombs/Dynamite
Bombing/Explosion,Transportation,Chad,Explosives/Bombs/Dynamite
Armed Assault,Military,Nicaragua,Firearms
Armed Assault,Military,Nicaragua,Firearms
Armed Assault,Military,Nicaragua,Firearms
Armed Assault,Military,Nicaragua,Firearms
Armed Assault,Military,Nicaragua,Firearms
Armed Assault,Military,Nicaragua,Firearms
Armed Assault,Military,Nicaragua,Firearms
Armed Assault,Military,Nicaragua,Firearms
Armed Assault,Military,Nicaragua,Firearms
Bombing/Explosion,Unknown,,Explosives/Bombs/Dynamite
Bombing/Explosion,Unknown,,Explosives/Bombs/Dynamite
Armed Assault,Military,Nicaragua,Firearms
Assassination,Terrorists/Non-State Militia,Colombia,Unknown
Assassination,NGO,India,Unknown
Assassination,Police,Peru,Unknown
Bombing/Explosion,Business,Germany,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Nicaragua,Explosives/Bombs/Dynamite
Armed Assault,Military,El Salvador,Firearms
Armed Assault,Private Citizens & Property,Peru,Firearms
Unknown,Police,Sri Lanka,Unknown
Unknown,Military,Sri Lanka,Unknown
Unknown,Police,Sri Lanka,Unknown
Assassination,Government (Diplomatic),Colombia,Unknown
Bombing/Explosion,Transportation,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Transportation,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Transportation,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Transportation,Peru,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Business,Mozambique,Unknown
Armed Assault,Private Citizens & Property,Peru,Firearms
Bombing/Explosion,Private Citizens & Property,Peru,Explosives/Bombs/Dynamite
Armed Assault,Government (General),Nicaragua,Firearms
Armed Assault,Business,Peru,Firearms
Bombing/Explosion,Military,Sri Lanka,Explosives/Bombs/Dynamite
Hostage Taking (Kidnapping),Terrorists/Non-State Militia,Nicaragua,Unknown
Assassination,Private Citizens & Property,Northern Ireland,Firearms
Armed Assault,Private Citizens & Property,Colombia,Firearms
Armed Assault,Police,Spain,Firearms
Assassination,Military,Northern Ireland,Explosives/Bombs/Dynamite
Assassination,Government (General),Philippines,Firearms
Armed Assault,Private Citizens & Property,France,Firearms
Bombing/Explosion,Military,South Africa,Explosives/Bombs/Dynamite
Bombing/Explosion,Police,South Africa,Explosives/Bombs/Dynamite
Bombing/Explosion,Military,Sri Lanka,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,United Arab Emirates,Explosives/Bombs/Dynamite
Unknown,Transportation,Mozambique,Unknown
Armed Assault,Military,Nicaragua,Firearms
Armed Assault,Military,Nicaragua,Firearms
Hostage Taking (Barricade Incident),Journalists & Media,Peru,Firearms
Bombing/Explosion,Business,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Peru,Explosives/Bombs/Dynamite
Hostage Taking (Kidnapping),Government (Diplomatic),Spain,Unknown
Bombing/Explosion,Utilities,South Africa,Explosives/Bombs/Dynamite
Bombing/Explosion,Educational Institution,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,South Africa,Explosives/Bombs/Dynamite
Hostage Taking (Kidnapping),Military,Peru,Firearms
Bombing/Explosion,Police,Spain,Explosives/Bombs/Dynamite
Bombing/Explosion,Police,Spain,Explosives/Bombs/Dynamite
Hostage Taking (Kidnapping),Military,Colombia,Unknown
Bombing/Explosion,Utilities,South Africa,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Police,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Peru,Explosives/Bombs/Dynamite
Armed Assault,Military,Colombia,Firearms
Armed Assault,Business,Peru,Firearms
Hostage Taking (Barricade Incident),Journalists & Media,Peru,Firearms
Hostage Taking (Kidnapping),Journalists & Media,Great Britain,Unknown
Bombing/Explosion,Business,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Lebanon,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Lebanon,Explosives/Bombs/Dynamite
Bombing/Explosion,Religious Figures/Institutions,Pakistan,Explosives/Bombs/Dynamite
Armed Assault,Business,Peru,Firearms
Assassination,Private Citizens & Property,South Africa,Unknown
Bombing/Explosion,Utilities,El Salvador,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,El Salvador,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,El Salvador,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,El Salvador,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,El Salvador,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,El Salvador,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,El Salvador,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,El Salvador,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,El Salvador,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,El Salvador,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,El Salvador,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,El Salvador,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,El Salvador,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,El Salvador,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,El Salvador,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,El Salvador,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,El Salvador,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,El Salvador,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,El Salvador,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,El Salvador,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Greece,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Greece,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Peru,Explosives/Bombs/Dynamite
Assassination,Educational Institution,Guatemala,Firearms
Bombing/Explosion,Business,United States,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Peru,Explosives/Bombs/Dynamite
Armed Assault,Private Citizens & Property,Peru,Firearms
Bombing/Explosion,Business,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Police,Sri Lanka,Explosives/Bombs/Dynamite
Assassination,Government (General),India,Unknown
Assassination,Police,South Africa,Explosives/Bombs/Dynamite
Bombing/Explosion,Police,Sri Lanka,Explosives/Bombs/Dynamite
Armed Assault,Private Citizens & Property,Nicaragua,Firearms
Armed Assault,Military,Nicaragua,Firearms
Armed Assault,Military,Nicaragua,Firearms
Armed Assault,Military,Nicaragua,Firearms
Armed Assault,Military,Nicaragua,Firearms
Armed Assault,Military,Nicaragua,Firearms
Bombing/Explosion,Police,Sri Lanka,Explosives/Bombs/Dynamite
Armed Assault,Military,Nicaragua,Firearms
Armed Assault,Military,Nicaragua,Firearms
Armed Assault,Military,Peru,Firearms
Assassination,Government (General),El Salvador,Explosives/Bombs/Dynamite
Armed Assault,Military,Nicaragua,Firearms
Armed Assault,Military,Nicaragua,Firearms
Facility/Infrastructure Attack,Military,Netherlands,Incendiary
Bombing/Explosion,Transportation,India,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,United States,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Israel,Explosives/Bombs/Dynamite
Armed Assault,Military,Nicaragua,Firearms
Armed Assault,Military,Nicaragua,Firearms
Armed Assault,Military,Nicaragua,Firearms
Assassination,Private Citizens & Property,Northern Ireland,Unknown
Facility/Infrastructure Attack,Private Citizens & Property,South Africa,Incendiary
Facility/Infrastructure Attack,Private Citizens & Property,South Africa,Incendiary
Bombing/Explosion,Business,Chile,Explosives/Bombs/Dynamite
Armed Assault,Military,Guatemala,Firearms
Armed Assault,Private Citizens & Property,Peru,Explosives/Bombs/Dynamite
Assassination,Police,Peru,Firearms
Bombing/Explosion,Police,South Africa,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Military,El Salvador,Explosives/Bombs/Dynamite
Hostage Taking (Kidnapping),Military,Peru,Unknown
Bombing/Explosion,Business,France,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,France,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Lebanon,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Police,Netherlands,Incendiary
Bombing/Explosion,Business,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Police,Peru,Explosives/Bombs/Dynamite
Armed Assault,Private Citizens & Property,Colombia,Firearms
Bombing/Explosion,Military,Northern Ireland,Explosives/Bombs/Dynamite
Bombing/Explosion,Police,Spain,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Business,France,Incendiary
Bombing/Explosion,Transportation,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Peru,Explosives/Bombs/Dynamite
Armed Assault,Military,Nicaragua,Firearms
Facility/Infrastructure Attack,Business,Peru,Incendiary
Bombing/Explosion,Utilities,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Military,South Africa,Explosives/Bombs/Dynamite
Bombing/Explosion,Police,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,France,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Chile,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Transportation,Chile,Incendiary
Facility/Infrastructure Attack,Transportation,Chile,Incendiary
Armed Assault,Transportation,Chile,Incendiary
Armed Assault,Military,Guatemala,Firearms
Hostage Taking (Kidnapping),Private Citizens & Property,Peru,Firearms
Assassination,Business,India,Firearms
Assassination,Military,Peru,Firearms
Assassination,Military,Spain,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),France,Explosives/Bombs/Dynamite
Unknown,Government (General),Philippines,Unknown
Armed Assault,Police,Philippines,Unknown
Assassination,Government (General),Peru,Firearms
Assassination,Government (General),Peru,Firearms
Assassination,Government (General),Philippines,Firearms
Assassination,Government (General),Philippines,Unknown
Bombing/Explosion,Business,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,India,Explosives/Bombs/Dynamite
Armed Assault,Military,Colombia,Firearms
Armed Assault,Business,France,Firearms
Armed Assault,Business,India,Firearms
Armed Assault,Private Citizens & Property,Peru,Firearms
Assassination,Government (Diplomatic),Germany,Firearms
Bombing/Explosion,Private Citizens & Property,Greece,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Pakistan,Explosives/Bombs/Dynamite
Armed Assault,Police,Colombia,Firearms
Armed Assault,Military,Nicaragua,Firearms
Assassination,Government (General),Peru,Unknown
Assassination,Private Citizens & Property,Philippines,Firearms
Bombing/Explosion,Police,South Africa,Explosives/Bombs/Dynamite
Assassination,Government (General),Italy,Unknown
Assassination,Educational Institution,Lebanon,Unknown
Bombing/Explosion,Police,South Africa,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Angola,Explosives/Bombs/Dynamite
Bombing/Explosion,Military,Philippines,Explosives/Bombs/Dynamite
Assassination,Police,Northern Ireland,Firearms
Bombing/Explosion,Utilities,South Africa,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,South Africa,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,El Salvador,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,El Salvador,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,El Salvador,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,South Africa,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Lebanon,Explosives/Bombs/Dynamite
Armed Assault,Military,El Salvador,Firearms
Bombing/Explosion,Military,South Africa,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Argentina,Explosives/Bombs/Dynamite
Bombing/Explosion,Transportation,Israel,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Israel,Explosives/Bombs/Dynamite
Assassination,Private Citizens & Property,Philippines,Unknown
Bombing/Explosion,Transportation,Israel,Explosives/Bombs/Dynamite
Armed Assault,Military,El Salvador,Firearms
Assassination,Business,United States,Firearms
Bombing/Explosion,Military,South Africa,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,South Africa,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,South Africa,Explosives/Bombs/Dynamite
Assassination,Government (Diplomatic),South Africa,Explosives/Bombs/Dynamite
Bombing/Explosion,Police,South Africa,Explosives/Bombs/Dynamite
Bombing/Explosion,Police,South Africa,Explosives/Bombs/Dynamite
Armed Assault,Military,Colombia,Firearms
Armed Assault,Police,Colombia,Firearms
Armed Assault,Military,Colombia,Firearms
Armed Assault,Military,Colombia,Firearms
Armed Assault,Police,Colombia,Firearms
Armed Assault,Military,El Salvador,Firearms
Armed Assault,Military,El Salvador,Firearms
Bombing/Explosion,Military,Nicaragua,Explosives/Bombs/Dynamite
Armed Assault,Private Citizens & Property,Peru,Firearms
Unknown,Military,Sri Lanka,Unknown
Assassination,Business,Lebanon,Unknown
Armed Assault,Military,El Salvador,Firearms
Hostage Taking (Kidnapping),Military,Israel,Unknown
Hostage Taking (Kidnapping),Private Citizens & Property,Peru,Firearms
Armed Assault,Terrorists/Non-State Militia,Philippines,Firearms
Assassination,Government (General),India,Unknown
Armed Assault,Police,South Africa,Firearms
Unknown,Police,South Africa,Unknown
Armed Assault,Private Citizens & Property,Philippines,Unknown
Assassination,Private Citizens & Property,France,Unknown
Assassination,Police,Portugal,Firearms
Bombing/Explosion,Government (Diplomatic),United States,Explosives/Bombs/Dynamite
Armed Assault,Police,Colombia,Firearms
Unknown,Private Citizens & Property,India,Unknown
Bombing/Explosion,Private Citizens & Property,Sri Lanka,Explosives/Bombs/Dynamite
Bombing/Explosion,Transportation,South Africa,Explosives/Bombs/Dynamite
Armed Assault,Transportation,Chile,Incendiary
Bombing/Explosion,Utilities,El Salvador,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,El Salvador,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,El Salvador,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,El Salvador,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,El Salvador,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,El Salvador,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,El Salvador,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,El Salvador,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,El Salvador,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,El Salvador,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,El Salvador,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,El Salvador,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Peru,Explosives/Bombs/Dynamite
Assassination,Government (General),Italy,Unknown
Assassination,Police,Philippines,Firearms
Assassination,Business,Philippines,Firearms
Assassination,Government (General),Philippines,Firearms
Hostage Taking (Kidnapping),Private Citizens & Property,Colombia,Unknown
Bombing/Explosion,Government (General),Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Peru,Explosives/Bombs/Dynamite
Armed Assault,Private Citizens & Property,Peru,Firearms
Bombing/Explosion,Police,Northern Ireland,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Peru,Explosives/Bombs/Dynamite
Armed Assault,Police,Peru,Firearms
Bombing/Explosion,Business,France,Explosives/Bombs/Dynamite
Unknown,Government (Diplomatic),Colombia,Unknown
Bombing/Explosion,Business,Lebanon,Explosives/Bombs/Dynamite
Unknown,Transportation,South Africa,Unknown
Assassination,Terrorists/Non-State Militia,Lebanon,Unknown
Assassination,Government (General),Lebanon,Unknown
Bombing/Explosion,Military,France,Explosives/Bombs/Dynamite
Armed Assault,Military,El Salvador,Firearms
Armed Assault,Military,El Salvador,Firearms
Assassination,Government (General),Peru,Firearms
Assassination,Police,Philippines,Firearms
Hostage Taking (Kidnapping),Government (Diplomatic),West Bank and Gaza Strip,Unknown
Bombing/Explosion,Other,West Bank and Gaza Strip,Explosives/Bombs/Dynamite
Hostage Taking (Kidnapping),Utilities,West Germany (FRG),Firearms
Unknown,Military,Israel,Unknown
Bombing/Explosion,Transportation,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,El Salvador,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,El Salvador,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,El Salvador,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,El Salvador,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,France,Explosives/Bombs/Dynamite
Armed Assault,Business,Colombia,Firearms
Armed Assault,Military,Colombia,Firearms
Armed Assault,Military,Colombia,Firearms
Unknown,Business,Colombia,Unknown
Unknown,Private Citizens & Property,Peru,Unknown
Unknown,Private Citizens & Property,Peru,Unknown
Armed Assault,Private Citizens & Property,El Salvador,Firearms
Bombing/Explosion,Airports & Aircraft,Israel,Explosives/Bombs/Dynamite
Bombing/Explosion,Police,Colombia,Explosives/Bombs/Dynamite
Assassination,Military,El Salvador,Unknown
Hostage Taking (Kidnapping),Private Citizens & Property,El Salvador,Unknown
Hostage Taking (Kidnapping),Terrorists/Non-State Militia,Philippines,Unknown
Unknown,Private Citizens & Property,Angola,Unknown
Bombing/Explosion,Private Citizens & Property,Sri Lanka,Unknown
Assassination,Government (General),West Bank and Gaza Strip,Unknown
Hostage Taking (Kidnapping),Private Citizens & Property,Sri Lanka,Unknown
Bombing/Explosion,Business,France,Explosives/Bombs/Dynamite
Armed Assault,Military,Peru,Firearms
Unknown,Private Citizens & Property,Peru,Unknown
Bombing/Explosion,Private Citizens & Property,Sri Lanka,Explosives/Bombs/Dynamite
Bombing/Explosion,Police,South Africa,Firearms
Unknown,Police,South Africa,Unknown
Bombing/Explosion,Government (General),United States,Explosives/Bombs/Dynamite
Bombing/Explosion,Police,South Africa,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,South Africa,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,South Africa,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,South Africa,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Israel,Explosives/Bombs/Dynamite
Armed Assault,Transportation,Israel,Incendiary
Armed Assault,Military,Colombia,Firearms
Armed Assault,Educational Institution,Colombia,Firearms
Armed Assault,Military,Israel,Incendiary
Assassination,Government (General),South Africa,Unknown
Hostage Taking (Kidnapping),Private Citizens & Property,Sri Lanka,Unknown
Facility/Infrastructure Attack,Business,South Africa,Incendiary
Armed Assault,Private Citizens & Property,Colombia,Firearms
Unknown,Private Citizens & Property,India,Unknown
Armed Assault,Private Citizens & Property,India,Unknown
Bombing/Explosion,Business,United States,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Colombia,Explosives/Bombs/Dynamite
Bombing/Explosion,Police,Colombia,Firearms
Armed Assault,Airports & Aircraft,El Salvador,Firearms
Assassination,Government (General),France,Unknown
Assassination,Military,Israel,Unknown
Assassination,Religious Figures/Institutions,United States,Unknown
Hostage Taking (Kidnapping),Unknown,Colombia,Unknown
Bombing/Explosion,Police,South Africa,Explosives/Bombs/Dynamite
Bombing/Explosion,Educational Institution,Argentina,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Bangladesh,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Bangladesh,Explosives/Bombs/Dynamite
Bombing/Explosion,Violent Political Party,Lebanon,Explosives/Bombs/Dynamite
Armed Assault,Journalists & Media,Argentina,Firearms
Assassination,Business,El Salvador,Unknown
